Date,Open,High,Low,Close,,Shares Traded,Turnover (Rs. Cr)
26-Apr-18,10586.5,10628.4,10559.65,10617.8,H:42;L27;C:+31,345536167,19200.41
03-May-18,10720.15,10720.6,10647.45,10679.65,0;73;-40,190869804,11018.21
10-May-18,10779.65,10785.55,10705,10716.55,6;74;-63,197988475,10526.38
17-May-18,10775.6,10777.25,10664.5,10682.7,2;111;-92,220738923,12506.3
24-May-18,10464.85,10535.15,10419.8,10513.85,70;45;+49,306792497,12914.16
31-May-18,10670.1,10763.8,10620.4,10736.15,93;50+66,629198569,29479.77
07-Jun-18,10722.6,10818,10722.6,10768.35,96;0;+46,227663151,11315.24
14-Jun-18,10832.9,10833.7,10773.55,10808.05,1;60;-24,190031664,11659.79
21-Jun-18,10808.45,10809.6,10725.9,10741.1,1;83;-67,230507383,12211.18
28-Jun-18,10660.8,10674.2,10557.7,10589.1,14;103;-70,363157327,20187.98
05-Jul-18,10786.05,10786.05,10726.25,10749.75,0;60;-37,227267176,13676.58
12-Jul-18,11006.95,11078.3,10999.65,11023.2,72;7;+17,256034815,15787.28
19-Jul-18,10999.5,11006.5,10935.45,10957.1,7;65;-42,222056399,12199.98
26-Jul-18,11132.95,11185.85,11125.7,11167.3,52;8;+34,376657398,21595.33
02-Aug-18,11328.9,11328.9,11234.95,11244.7,0;94;-84,216533127,12267.66
09-Aug-18,11493.25,11495.2,11454.1,11470.7,2;40;-23,311521403,15842.76
16-Aug-18,11397.15,11449.85,11366.25,11385.05,53;31;-12,299610298,17081.62
23-Aug-18,11620.7,11620.7,11546.7,11582.75,0;84;-38,256163842,16117.77
30-Aug-18,11694.75,11698.8,11639.7,11676.8,4;55;-18,323450305,18275.54
06-Sep-18,11514.15,11562.25,11436.05,11536.9,48;78;+22,255558129,15161
12-Sep-18,11340.1,11380.75,11250.2,11369.9,40;90;+30,276509748,15567.9
19-Sep-18,11326.65,11332.05,11210.9,11234.35,6;116;-92,258424384,15116.69
27-Sep-18,11079.8,11089.45,10953.35,10977.55,11;127;-103,418210067,22582.86
04-Oct-18,10754.7,10754.7,10547.25,10599.25,0;207;-154,438202008,23711.57
11-Oct-18,10169.8,10335.95,10138.6,10234.65,165;30;64,498509417,21907.13
17-Oct-18,10688.7,10710.15,10436.45,10453.05,22;252;-235,293586908,17173.14
25-Oct-18,10135.05,10166.6,10079.3,10124.9,31;75;-11,522421914,23503.76
01-Nov-18,10441.7,10441.9,10341.9,10380.45,0;100;-61,359340403,18111.88
07-Nov-18,10614.45,10616.45,10582.3,10598.4,2;32;-16,32194181,1534.08
15-Nov-18,10580.6,10646.5,10557.5,10616.7,66;23;+36,306011926,14937.67
22-Nov-18,10612.65,10646.25,10512,10526.75,32;00;-86,246926671,12254.36
29-Nov-18,10808.7,10883.05,10782.35,10858.7,75;26;+50,712650890,26283.43
06-Dec-18,10718.15,10722.65,10588.25,10601.15,4;130;-117,328275196,16488.87
13-Dec-18,10810.75,10838.6,10749.5,10791.55,28;60;-19,387810061,17582.8
20-Dec-18,10885.2,10962.55,10880.05,10951.7,77;5;+66,328802751,14945.94
27-Dec-18,10817.9,10834.2,10764.45,10779.8,17;54;-39,470160392,19119.88
03-Jan-19,10796.8,10814.05,10661.25,10672.25,18;135;-124,286241745,15030.45
10-Jan-19,10859.35,10859.35,10801.8,10821.6,0;58;-38,254365477,12031.26
17-Jan-19,10920.85,10930.65,10844.65,10905.2,10;76;-15,271676319,13215.83
24-Jan-19,10844.05,10866.6,10798.65,10849.8,22;46;+3,361082096,15298.48
31-Jan-19,10690.55,10838.05,10678.55,10830.95,148;12;+130,604818027,27471.18
07-Feb-19,11070.45,11118.1,11043.6,11069.4,48;27;-1,263544426,13542.69
14-Feb-19,10786.1,10792.7,10718.75,10746.05,6;78;-40,627041405,20797.41
21-Feb-19,10744.1,10808.85,10721.5,10789.85,64;23;+45,279584955,14758.5
28-Feb-19,10865.7,10865.7,10784.85,10792.5,0;80;-73,644159018,27123.34
07-Mar-19,11077.95,11089.05,11027.1,11058.2,12;50;-19,321208766,15321.68
14-Mar-19,11382.5,11383.45,11313.75,11343.25,1;69;-40,294480678,15661.05
20-Mar-19,11553.35,11556.1,11503.1,11521.05,3;50;-32,366298049,18311.44
28-Mar-19,11463.65,11588.5,11452.45,11570,125;11;+107,527678809,25719.65
04-Apr-19,11660.2,11662.55,11559.2,11598,2;100;-62,349029830,19713.01
11-Apr-19,11592.55,11606.7,11550.55,11596.7,14;42;+4,279775726,14332.2
18-Apr-19,11856.15,11856.15,11738.5,11752.8,0;118;-04,339653709,18271.27
25-Apr-19,11735.7,11796.75,11624.3,11641.8,61;111;-94,,
